"Site.Name","Date","COUNTY","meanlat","meanlong","year","month","PM2.5","Ozone"
"Bryson City",2020-01-01,"Swain",35.434767,-83.442133,2020,1,29.5,NA
"Bryson City",2020-01-02,"Swain",35.434767,-83.442133,2020,1,39,NA
"Bryson City",2020-01-03,"Swain",35.434767,-83.442133,2020,1,31,NA
"Bryson City",2020-01-04,"Swain",35.434767,-83.442133,2020,1,21.5,NA
"Bryson City",2020-01-05,"Swain",35.434767,-83.442133,2020,1,21.5,NA
"Bryson City",2020-01-06,"Swain",35.434767,-83.442133,2020,1,33,NA
"Bryson City",2020-01-07,"Swain",35.434767,-83.442133,2020,1,45,NA
"Bryson City",2020-01-08,"Swain",35.434767,-83.442133,2020,1,52,NA
"Bryson City",2020-01-09,"Swain",35.434767,-83.442133,2020,1,45.5,NA
"Bryson City",2020-01-10,"Swain",35.434767,-83.442133,2020,1,38,NA
"Bryson City",2020-01-11,"Swain",35.434767,-83.442133,2020,1,28,NA
"Bryson City",2020-01-12,"Swain",35.434767,-83.442133,2020,1,28.5,NA
"Bryson City",2020-01-13,"Swain",35.434767,-83.442133,2020,1,17,NA
"Bryson City",2020-01-14,"Swain",35.434767,-83.442133,2020,1,18,NA
"Bryson City",2020-01-15,"Swain",35.434767,-83.442133,2020,1,28,NA
"Bryson City",2020-01-16,"Swain",35.434767,-83.442133,2020,1,39.5,NA
"Bryson City",2020-01-17,"Swain",35.434767,-83.442133,2020,1,44,NA
"Bryson City",2020-01-18,"Swain",35.434767,-83.442133,2020,1,39.5,NA
"Bryson City",2020-01-19,"Swain",35.434767,-83.442133,2020,1,41,NA
"Bryson City",2020-01-20,"Swain",35.434767,-83.442133,2020,1,33,NA
"Bryson City",2020-01-21,"Swain",35.434767,-83.442133,2020,1,39.5,NA
"Bryson City",2020-01-22,"Swain",35.434767,-83.442133,2020,1,44,NA
"Bryson City",2020-01-23,"Swain",35.434767,-83.442133,2020,1,18,NA
"Bryson City",2020-01-24,"Swain",35.434767,-83.442133,2020,1,19.5,NA
"Bryson City",2020-01-25,"Swain",35.434767,-83.442133,2020,1,28,NA
"Bryson City",2020-01-26,"Swain",35.434767,-83.442133,2020,1,47.5,NA
"Bryson City",2020-01-27,"Swain",35.434767,-83.442133,2020,1,54,NA
"Bryson City",2020-01-28,"Swain",35.434767,-83.442133,2020,1,40,NA
"Bryson City",2020-01-29,"Swain",35.434767,-83.442133,2020,1,31,NA
"Bryson City",2020-01-30,"Swain",35.434767,-83.442133,2020,1,31.5,NA
"Bryson City",2020-01-31,"Swain",35.434767,-83.442133,2020,1,39,NA
"Bryson City",2020-02-01,"Swain",35.434767,-83.442133,2020,2,56,NA
"Bryson City",2020-02-02,"Swain",35.434767,-83.442133,2020,2,30,NA
"Bryson City",2020-02-03,"Swain",35.434767,-83.442133,2020,2,40,NA
"Bryson City",2020-02-04,"Swain",35.434767,-83.442133,2020,2,45.5,NA
"Bryson City",2020-02-05,"Swain",35.434767,-83.442133,2020,2,40.5,NA
"Bryson City",2020-02-06,"Swain",35.434767,-83.442133,2020,2,60.5,NA
"Bryson City",2020-02-07,"Swain",35.434767,-83.442133,2020,2,31,NA
"Bryson City",2020-02-08,"Swain",35.434767,-83.442133,2020,2,22.5,NA
"Bryson City",2020-02-09,"Swain",35.434767,-83.442133,2020,2,29,NA
"Bryson City",2020-02-10,"Swain",35.434767,-83.442133,2020,2,36.5,NA
"Bryson City",2020-02-11,"Swain",35.434767,-83.442133,2020,2,25,NA
"Bryson City",2020-02-12,"Swain",35.434767,-83.442133,2020,2,11.5,NA
"Bryson City",2020-02-13,"Swain",35.434767,-83.442133,2020,2,16,40
"Bryson City",2020-02-14,"Swain",35.434767,-83.442133,2020,2,29.5,35
"Bryson City",2020-02-15,"Swain",35.434767,-83.442133,2020,2,35,23
"Bryson City",2020-02-16,"Swain",35.434767,-83.442133,2020,2,18,34
"Bryson City",2020-02-17,"Swain",35.434767,-83.442133,2020,2,19.5,23
"Bryson City",2020-02-18,"Swain",35.434767,-83.442133,2020,2,11,34
"Bryson City",2020-02-19,"Swain",35.434767,-83.442133,2020,2,28,38
"Bryson City",2020-02-20,"Swain",35.434767,-83.442133,2020,2,23.5,37
"Bryson City",2020-02-21,"Swain",35.434767,-83.442133,2020,2,24,15
"Bryson City",2020-02-22,"Swain",35.434767,-83.442133,2020,2,25,31
"Bryson City",2020-02-23,"Swain",35.434767,-83.442133,2020,2,34,28
"Bryson City",2020-02-24,"Swain",35.434767,-83.442133,2020,2,32,43
"Bryson City",2020-02-25,"Swain",35.434767,-83.442133,2020,2,19,42
"Bryson City",2020-02-26,"Swain",35.434767,-83.442133,2020,2,24,NA
"Bryson City",2020-02-27,"Swain",35.434767,-83.442133,2020,2,33,42
"Bryson City",2020-02-28,"Swain",35.434767,-83.442133,2020,2,44,21
"Bryson City",2020-03-01,"Swain",35.434767,-83.442133,2020,3,35,30.5
"Bryson City",2020-03-02,"Swain",35.434767,-83.442133,2020,3,19.5,37.5
"Bryson City",2020-03-03,"Swain",35.434767,-83.442133,2020,3,28,32.5
"Bryson City",2020-03-04,"Swain",35.434767,-83.442133,2020,3,25,39.5
"Bryson City",2020-03-05,"Swain",35.434767,-83.442133,2020,3,41,43
